MUNICÍPIO,ZONA,BAIRRO,PEDRO PORTO 2024 1T,LATITUDE,LONGITUDE
RIO DE JANEIRO,10,ÁGUA SANTA,5,-22.9111428,-43.3121258
RIO DE JANEIRO,10,CASCADURA,22,-22.8841816,-43.3283969
RIO DE JANEIRO,10,ENCANTADO,6,-22.8974743,-43.3042461
RIO DE JANEIRO,10,MADUREIRA,15,-22.871658,-43.3371976
RIO DE JANEIRO,10,OSWALDO CRUZ,11,-22.8705266,-43.350194
RIO DE JANEIRO,10,PIEDADE,5,-22.8926665,-43.3110001
RIO DE JANEIRO,10,QUINTINO BOCAIUVA,16,-22.8955889,-43.3253269
RIO DE JANEIRO,118,CASCADURA,4,-22.8841816,-43.3283969
RIO DE JANEIRO,118,CAVALCANTI,6,-22.8705266,-43.3165261
RIO DE JANEIRO,118,ENGENHEIRO LEAL,2,-22.8743923,-43.3255315
RIO DE JANEIRO,118,MADUREIRA,9,-22.871658,-43.3371976
RIO DE JANEIRO,118,OSWALDO CRUZ,2,-22.8705266,-43.350194
RIO DE JANEIRO,118,TOMÁS COELHO,3,-22.8676979,-43.3060881
RIO DE JANEIRO,118,VAZ LOBO,4,-22.8589721,-43.3278646
RIO DE JANEIRO,118,VICENTE DE CARVALHO,11,-22.8571804,-43.3157892
RIO DE JANEIRO,119,ALTO DA BOA VISTA,3,-22.9621126,-43.2535816
RIO DE JANEIRO,119,BARRA DA TIJUCA,41,-22.9997404,-43.3659929
RIO DE JANEIRO,119,FREGUESIA JPA,47,,
RIO DE JANEIRO,119,ITANHANGÁ,9,-22.9870911,-43.3049379
RIO DE JANEIRO,120,CAMPO GRANDE,27,-22.902953,-43.5591295
RIO DE JANEIRO,120,SENADOR VASCONCELOS,2,-22.8953684,-43.5288566
RIO DE JANEIRO,122,CAMPO GRANDE,23,-22.902953,-43.5591295
RIO DE JANEIRO,122,SANTÍSSIMO,10,-22.8751928,-43.5198512
RIO DE JANEIRO,122,SENADOR VASCONCELOS,6,-22.8953684,-43.5288566
RIO DE JANEIRO,123,ANCHIETA,6,-22.8231903,-43.3991069
RIO DE JANEIRO,123,MAGALHÃES BASTOS,1,-22.8725117,-43.4136384
RIO DE JANEIRO,123,PARQUE ANCHIETA,4,-22.8351687,-43.4155827
RIO DE JANEIRO,123,REALENGO,17,-22.8772743,-43.4301032
RIO DE JANEIRO,123,RICARDO DE ALBUQUERQUE,2,-22.836698650000002,-43.391675746418954
RIO DE JANEIRO,125,SANTA CRUZ,43,-22.9176248,-43.6834907
RIO DE JANEIRO,14,CASCADURA,7,-22.8841816,-43.3283969
RIO DE JANEIRO,14,CAVALCANTI,7,-22.8705266,-43.3165261
RIO DE JANEIRO,14,ENGENHO DE DENTRO,9,-22.9026591,-43.2967757
RIO DE JANEIRO,14,PIEDADE,19,-22.8926665,-43.3110001
RIO DE JANEIRO,14,PILARES,29,-22.8790904,-43.2955477
RIO DE JANEIRO,14,QUINTINO BOCAIUVA,15,-22.8955889,-43.3253269
RIO DE JANEIRO,16,BAIRRO DE FÁTIMA,23,-21.651573,-41.0565439
RIO DE JANEIRO,16,CATETE,50,-22.9269199,-43.1802186
RIO DE JANEIRO,16,COSME VELHO,13,-22.9415143,-43.2006244
RIO DE JANEIRO,16,GLÓRIA,15,-22.9183225,-43.1739232
RIO DE JANEIRO,16,LAPA,5,-22.9130257,-43.1822358
RIO DE JANEIRO,16,LARANJEIRAS,57,-22.9343173,-43.1878165
RIO DE JANEIRO,16,SANTA TERESA,15,-22.9215542,-43.1860269
RIO DE JANEIRO,161,BONSUCESSO,69,-22.8659317,-43.253318
RIO DE JANEIRO,161,RAMOS,15,-22.8519758,-43.2555693
RIO DE JANEIRO,162,BRÁS DE PINA,6,-22.831888,-43.2977309
RIO DE JANEIRO,162,CORDOVIL,5,-22.8194378,-43.2915908
RIO DE JANEIRO,162,OLARIA,20,-22.8484866,-43.2706124
RIO DE JANEIRO,162,PENHA,23,-22.8381127,-43.2764454
RIO DE JANEIRO,162,PENHA CIRCULAR,6,-22.8326425,-43.2842228
RIO DE JANEIRO,162,RAMOS,12,-22.8519758,-43.2555693
RIO DE JANEIRO,167,ANCHIETA,12,-22.8231903,-43.3991069
RIO DE JANEIRO,167,COSTA BARROS,3,-22.8246995,-43.3698395
RIO DE JANEIRO,167,PAVUNA,1,-22.8121927,-43.3592811
RIO DE JANEIRO,167,RICARDO DE ALBUQUERQUE,2,-22.836698650000002,-43.391675746418954
RIO DE JANEIRO,169,BENFICA,46,-22.8922965,-43.240341
RIO DE JANEIRO,169,BONSUCESSO,2,-22.8659317,-43.253318
RIO DE JANEIRO,169,DEL CASTILHO,7,-22.8795618,-43.2724202
RIO DE JANEIRO,169,HIGIENÓPOLIS,25,-22.873999,-43.2613682
RIO DE JANEIRO,169,INHAUMA,10,-22.8715476,-43.2823466
RIO DE JANEIRO,169,MANGUEIRA,9,-22.903945,-43.2361967
RIO DE JANEIRO,169,MARIA DA GRAÇA,5,-22.8830403,-43.2638849
RIO DE JANEIRO,169,TRIAGEM,21,-22.8967174,-43.2440972
RIO DE JANEIRO,17,COPACABANA,46,-22.971974,-43.1842997
RIO DE JANEIRO,17,GÁVEA,5,-22.9814243,-43.2383245
RIO DE JANEIRO,17,IPANEMA,38,-22.9839557,-43.2022163
RIO DE JANEIRO,17,LAGOA,2,-22.9624658,-43.2024884
RIO DE JANEIRO,17,LEBLON,37,-22.9834608,-43.2249656
RIO DE JANEIRO,170,ANDARAÍ,39,-22.9290845,-43.2534858
RIO DE JANEIRO,170,GRAJAÚ,38,-22.9225217,-43.2645145
RIO DE JANEIRO,170,MARACANÃ,19,-22.912161949999998,-43.23118606002972
RIO DE JANEIRO,170,TIJUCA,15,-22.9247351,-43.2327165
RIO DE JANEIRO,170,VILA ISABEL,60,-22.9166993,-43.2508354
RIO DE JANEIRO,176,BRÁS DE PINA,1,-22.831888,-43.2977309
RIO DE JANEIRO,176,CORDOVIL,8,-22.8194378,-43.2915908
RIO DE JANEIRO,176,JARDIM AMÉRICA,21,-22.810005,-43.323212
RIO DE JANEIRO,176,PARADA DE LUCAS,5,-22.8167023,-43.3012102
RIO DE JANEIRO,176,VIGÁRIO GERAL,5,-22.8095333,-43.3097039
RIO DE JANEIRO,176,VILA DA PENHA,4,-22.8435065,-43.3100585
RIO DE JANEIRO,176,VISTA ALEGRE,8,-22.8296244,-43.3151276
RIO DE JANEIRO,179,ANIL,15,-22.9558133,-43.3384123
RIO DE JANEIRO,179,CIDADE DE DEUS,18,-22.94803,-43.362903
RIO DE JANEIRO,179,GARDENIA AZUL,15,-22.9582866,-43.3512241
RIO DE JANEIRO,179,PECHINCHA,16,-22.928988,-43.3534191
RIO DE JANEIRO,179,RIO DAS PEDRAS,10,-22.9756211,-43.3352709
RIO DE JANEIRO,180,TANQUE,17,-22.9151927,-43.3557471
RIO DE JANEIRO,180,TAQUARA,25,-22.9218864,-43.384646
RIO DE JANEIRO,182,CURICICA,28,-22.9519909,-43.3872901
RIO DE JANEIRO,182,TAQUARA,36,-22.9218864,-43.384646
