Bairro,Votos Absolutos,% de Votos,Votos Absolutos Normalizados,% de Votos Normalizados,Indice de Votação,LATITUDE,LONGITUDE
TIJUCA,3280,0.031,1.0,1.0,1.0,-22.9247351,-43.2327165
COPACABANA,2307,0.0273,0.7033536585365854,0.8806451612903227,0.791999409913454,-22.971974,-43.1842997
PENHA,1289,0.03,0.3929878048780488,0.9677419354838709,0.6803648701809598,-22.8381127,-43.2764454
BOTAFOGO,1150,0.0262,0.35060975609756095,0.8451612903225807,0.5978855232100708,-22.9515096,-43.1862969
LARANJEIRAS,825,0.0286,0.25152439024390244,0.9225806451612903,0.5870525177025964,-22.9343173,-43.1878165
FLAMENGO,647,0.0296,0.19725609756097562,0.9548387096774194,0.5760474036191975,-22.9339841,-43.1745744
MEIER,964,0.0255,0.2939024390243902,0.8225806451612903,0.5582415420928403,-22.90173,-43.2797093
VILA ISABEL,958,0.0247,0.2920731707317073,0.7967741935483871,0.5444236821400472,-22.9166993,-43.2508354
BARRA DA TIJUCA,1508,0.0192,0.45975609756097563,0.6193548387096773,0.5395554681353265,-22.9997404,-43.3659929
BARRA,1470,0.0191,0.4481707317073171,0.6161290322580645,0.5321498819826908,,
IPANEMA,634,0.0269,0.19329268292682927,0.867741935483871,0.5305173092053501,-22.9839557,-43.2022163
CATETE,571,0.0262,0.17408536585365852,0.8451612903225807,0.5096233280881196,-22.9269199,-43.1802186
TODOS OS SANTOS,468,0.0269,0.14268292682926828,0.867741935483871,0.5052124311565697,-22.894563,-43.28506
LEME,223,0.0287,0.06798780487804879,0.9258064516129032,0.496897128245476,-22.961704,-43.1669042
CENTRO,521,0.0257,0.15884146341463415,0.8290322580645162,0.49393686073957516,-22.2800004,-42.5325303
LEBLON,650,0.0235,0.19817073170731708,0.7580645161290323,0.4781176239181747,-22.9834608,-43.2249656
BAIRRO DE FÁTIMA,191,0.0277,0.058231707317073174,0.8935483870967742,0.4758900472069237,-21.651573,-41.0565439
ANDARAÍ,516,0.0246,0.1573170731707317,0.7935483870967742,0.475432730133753,-22.9290845,-43.2534858
MARACANÃ,330,0.026,0.10060975609756098,0.8387096774193548,0.46965971675845786,-22.912161949999998,-43.23118606002972
PENHA CIRCULAR,532,0.0237,0.16219512195121952,0.7645161290322581,0.4633556254917388,-22.8326425,-43.2842228
GRAJAÚ,526,0.0234,0.1603658536585366,0.7548387096774194,0.457602281667978,-22.9225217,-43.2645145
OLARIA,682,0.0214,0.20792682926829267,0.6903225806451613,0.44912470495672696,-22.8484866,-43.2706124
CIDADE NOVA,100,0.0256,0.03048780487804878,0.8258064516129032,0.428147128245476,-22.9100508,-43.201756
FREGUESIA JPA,735,0.0183,0.22408536585365854,0.5903225806451613,0.40720397324940993,,
JARDIM GUANABARA,403,0.0211,0.12286585365853658,0.6806451612903226,0.40175550747442956,-22.8128362,-43.2007792
URCA,151,0.0234,0.04603658536585366,0.7548387096774194,0.4004376475216365,-22.954074,-43.1679727
HUMAITA,213,0.0226,0.0649390243902439,0.7290322580645161,0.39698564122738,-22.9546413,-43.2004797
GLÓRIA,51,0.024,0.015548780487804878,0.7741935483870968,0.3948711644374508,-22.9183225,-43.1739232
JARDIM BOTÂNICO,227,0.0223,0.06920731707317074,0.7193548387096774,0.3942810778914241,-22.9636362,-43.2233457
ENGENHO DE DENTRO,488,0.0194,0.14878048780487804,0.6258064516129033,0.38729346970889067,-22.9026591,-43.2967757
RIO COMPRIDO,430,0.0195,0.13109756097560976,0.6290322580645161,0.38006490952006294,-22.9279449,-43.2088566
CAMPO GRANDE,1620,0.008,0.49390243902439024,0.25806451612903225,0.37598347757671124,-22.902953,-43.5591295
RECREIO,696,0.0166,0.2121951219512195,0.535483870967742,0.3738394964594807,-22.51201,-41.9236578
ROCHA,191,0.0212,0.058231707317073174,0.6838709677419355,0.3710513375295043,-22.8995624,-43.2488072
LAGOA,212,0.021,0.06463414634146342,0.6774193548387097,0.3710267505900866,-22.9624658,-43.2024884
TAQUARA,979,0.0134,0.29847560975609755,0.432258064516129,0.3653668371361133,-22.9218864,-43.384646
RIACHUELO,99,0.0216,0.030182926829268292,0.6967741935483871,0.3634785601888277,-22.9026953,-43.255175
PILARES,241,0.0199,0.07347560975609756,0.6419354838709678,0.35770554681353267,-22.8790904,-43.2955477
CACHAMBI,386,0.0185,0.11768292682926829,0.5967741935483871,0.3572285601888277,-22.8897728,-43.2743347
LAPA,72,0.0213,0.02195121951219512,0.6870967741935484,0.3545239968528718,-22.9130257,-43.1822358
BRÁS DE PINA,373,0.0178,0.11371951219512196,0.5741935483870968,0.3439565302911094,-22.831888,-43.2977309
SÃO CRISTÓVÃO,395,0.0175,0.12042682926829268,0.5645161290322581,0.3424714791502754,-22.899318,-43.2219346
GÁVEA,331,0.0174,0.10091463414634147,0.5612903225806452,0.3311024783634933,-22.9814243,-43.2383245
VILA VALQUEIRE,339,0.0172,0.10335365853658536,0.5548387096774193,0.32909618410700237,-22.8886093,-43.3657758
PIEDADE,421,0.0164,0.12835365853658537,0.5290322580645161,0.3286929583005508,-22.8926665,-43.3110001
ZUMBI,99,0.0194,0.030182926829268292,0.6258064516129033,0.32799468922108577,-22.8212784,-43.1758609
CASCADURA,343,0.0168,0.10457317073170731,0.5419354838709677,0.3232543273013375,-22.8841816,-43.3283969
RIBEIRA,70,0.0191,0.021341463414634148,0.6161290322580645,0.3187352478363493,-22.8252399,-43.1705907
PECHINCHA,279,0.0169,0.0850609756097561,0.5451612903225806,0.3151111329661684,-22.928988,-43.3534191
COSME VELHO,98,0.0184,0.029878048780487804,0.5935483870967742,0.311713217938631,-22.9415143,-43.2006244
DEL CASTILHO,271,0.0167,0.0826219512195122,0.5387096774193548,0.3106658143194335,-22.8795618,-43.2724202
VILA DA PENHA,360,0.0158,0.10975609756097561,0.5096774193548388,0.3097167584579072,-22.8435065,-43.3100585
PRAÇA SECA,494,0.0145,0.15060975609756097,0.467741935483871,0.309175845790716,-22.8992621,-43.3527794
